name	has_participant_tsv	has_participant_json	participant_columns	has_phenotype_dir	has_mri	nb_subjects	raw	fmriprep	freesurfer	mriqc
ds000138	True	False	['participant_id', 'sex', 'age']	False	True	16	https://github.com/OpenNeuroDatasets/ds000138	n/a	n/a	n/a
ds000140	True	False	['participant_id', 'sex', 'age']	False	True	33	https://github.com/OpenNeuroDatasets/ds000140	n/a	n/a	n/a
ds000144	True	True	['participant_id', 'poverty', 'race', 'ScanAge', 'jsex', 'hand', 'IQ', 'Imp_P', 'SADSx_p', 'SADDx_p', 'GADSx_p', 'GADDx_p', 'SOCSx_p', 'SOCDx_p', 'Imp_f', 'SADSx_f', 'SADDx_f', 'GADSx_f', 'GADDx_f', 'SOCSx_f', 'SOCDx_f', 'AnyAnx_p', 'AnyAnx_f', 'InternSx_p', 'InternSx_f', 'scanner']	False	True	45	https://github.com/OpenNeuroDatasets/ds000144	n/a	n/a	n/a
ds000148	True	False	['participant_id', 'dataset', 'sex', 'age', 'AS36_switching_self-rated', 'AS36_switching_1st-friend-rating', 'AS36_switching_2nd-friend-rating', 'AS36_monitoring_self-rated', 'AS36_monitoring_1st-friend-rating', 'AS36_monitoring_2nd-friend-rating', 'AS36_inhibition_self-rated', 'AS36_inhibition_1st-friend-rating', 'AS36_inhibition_2nd-friend-rating', 'RPM', 'TAO']	False	True	49	https://github.com/OpenNeuroDatasets/ds000148	n/a	n/a	n/a
ds000149	True	False	['participant_id', 'sex', 'age']	False	True	15	https://github.com/OpenNeuroDatasets/ds000149	n/a	n/a	n/a
ds000157	True	True	['participant_id', 'sex', 'age', 'BMI', 'diet_success', 'diet_importance', 'appetite_pre', 'appetite_post', 'oral_contraceptive', 'days_since_menstruationi', 'cycle_phase_covariate']	False	True	30	https://github.com/OpenNeuroDatasets/ds000157	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000157/tree/main/derivatives/mriqc
ds000158	False	False	n/a	False	True	217	https://github.com/OpenNeuroDatasets/ds000158	n/a	n/a	n/a
ds000164	False	False	n/a	False	True	28	https://github.com/OpenNeuroDatasets/ds000164	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000164/tree/main/derivatives/mriqc
ds000168	True	False	['participant_id', 'sex', 'age']	False	True	35	https://github.com/OpenNeuroDatasets/ds000168	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000168/tree/main/derivatives/mriqc
ds000170	True	False	['participant_id', 'handedness', 'sex', 'age']	False	True	15	https://github.com/OpenNeuroDatasets/ds000170	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000170/tree/main/derivatives/mriqc
